Product ID,Category,Sub-Category,Product Name
OFF-LA-4658,Office Supplies,Labels,Hon File Folders
FUR-FU-6238,Furniture,Furnishings,Tenex Clock
FUR-BO-4845,Furniture,Bookcases,Ikea 3-Shelf Bookcase
OFF-BI-3720,Office Supplies,Binders,Cardinal Binder
OFF-AR-5905,Office Supplies,Art,Sanford Canvas Art Set
OFF-EN-4446,Office Supplies,Envelopes,GlobeWeis Mail Envelopes
TEC-PH-7788,Technology,Phones,Apple iPhone
FUR-CH-2221,Furniture,Chairs,Ergonomic Office Chair
OFF-ST-9912,Office Supplies,Storage,Plastic Storage Box
TEC-AC-8821,Technology,Accessories,Wireless Mouse
OFF-PA-1122,Office Supplies,Paper,Premium Copy Paper
FUR-TA-9911,Furniture,Tables,Conference Table
TEC-LA-7781,Technology,Laptops,Dell Inspiron Laptop
OFF-SU-5551,Office Supplies,Supplies,Stapler Set
