Airline, Max of Price , Average of Price , Min of Price , Count of Price , Sum of Price2 
Air Asia," 13,774 "," 5,586 "," 3,383 ", 320 ," 17,87,400 "
Air India," 31,945 "," 9,608 "," 2,050 "," 1,752 "," 1,68,34,015 "
GoAir," 22,794 "," 5,861 "," 3,398 ", 194 ," 11,37,045 "
IndiGo," 22,153 "," 5,674 "," 2,227 "," 2,053 "," 1,16,48,071 "
Jet Airways," 54,826 "," 11,643 "," 1,840 "," 3,850 "," 4,48,24,690 "
Jet Airways Business," 79,512 "," 58,359 "," 46,490 ", 6 ," 3,50,152 "
Multiple carriers," 36,983 "," 10,903 "," 5,797 "," 1,196 "," 1,30,39,603 "
Multiple carriers Premium economy," 14,629 "," 11,419 "," 9,845 ", 13 ," 1,48,445 "
SpiceJet," 23,267 "," 4,337 "," 1,759 ", 819 ," 35,51,974 "
Trujet," 4,140 "," 4,140 "," 4,140 ", 1 ," 4,140 "
Vistara," 21,730 "," 7,813 "," 3,687 ", 479 ," 37,42,221 "
Vistara Premium economy," 11,793 "," 8,962 "," 5,969 ", 3 ," 26,887 "
Grand Total," 79,512 "," 9,086 "," 1,759 "," 10,686 "," 9,70,94,643 "
