ID,Airline,Date_of_Journey,Source,Destination,Route,Arrival_Time,Duration,Total_Stops,Additional_Info, Price_EUR 
1,Ryanair,24-03-2019 22:20,London,Frankfurt,LHR _ FRA,25-03-2019 01:10,2h 50m,non-stop,No info, 42.9 
2,Lufthansa,01-05-2019 05:50,Paris,London,CDG _ BRU _ MUC _ LHR,01-05-2019 13:15,7h 25m,2 stops,No info, 84.3 
3,British Airways,09-06-2019 09:25,Frankfurt,Rome,FRA _ CPH _ WAW _ FCO,10-06-2019 04:25,19h 00m,2 stops,No info, 152.7 
4,Ryanair,12-05-2019 18:05,Paris,London,CDG _ WAW _ LHR,12-05-2019 23:30,5h 25m,1 stop,No info, 68.4 
5,Ryanair,01-03-2019 16:50,London,Frankfurt,LHR _ MXP _ FRA,01-03-2019 21:35,4h 45m,1 stop,No info, 146.3 
6,easyJet,24-06-2019 09:00,Paris,London,CDG _ LHR,24-06-2019 11:25,2h 25m,non-stop,No info, 42.6 
7,British Airways,12-03-2019 18:55,London,Frankfurt,LHR _ MXP _ FRA,13-03-2019 10:25,15h 30m,1 stop,In-flight meal not included, 122.0 
8,British Airways,01-03-2019 08:00,London,Frankfurt,LHR _ MXP _ FRA,02-03-2019 05:05,21h 5m,1 stop,No info, 245.0 
9,British Airways,12-03-2019 08:55,London,Frankfurt,LHR _ MXP _ FRA,13-03-2019 10:25,25h 30m,1 stop,In-flight meal not included, 122.0 
10,Multiple carriers,27-05-2019 11:25,Frankfurt,Rome,FRA _ BER _ FCO,27-05-2019 19:15,7h 50m,1 stop,No info, 94.9 
11,Lufthansa,01-06-2019 09:45,Frankfurt,Rome,FRA _ BER _ FCO,01-06-2019 23:00,13h 15m,1 stop,No info, 98.0 
12,Ryanair,18-04-2019 20:20,Paris,London,CDG _ LHR,18-04-2019 22:55,2h 35m,non-stop,No info, 45.9 
13,Lufthansa,24-06-2019 11:40,Madrid,Paris,MAD _ CDG,24-06-2019 13:55,2h 15m,non-stop,No info, 51.3 
