Airline,Date_of_Journey,Dep_Time,Arrival_Time,Dept_Hour,Dept_Minute,Arrival_Hour,Arrival_Minute
IndiGo,24-03-2019,22:20,01:10:00,10,20,1,10
Air India,01-05-2019,05:50,13:15,,50,13,15
Jet Airways,09-06-2019,09:25,04:25:00,,25,4,25
IndiGo,12-05-2019,18:05,23:30,,5,23,30
IndiGo,01-03-2019,16:50,21:35,16,50,21,35
SpiceJet,24-06-2019,09:00,11:25,9,0,11,25
Jet Airways,12-03-2019,10:25,18:55,10,25,18,55
Jet Airways,01-03-2019,05:05,08:00,5,5,8,0
SpiceJet,24-06-2019,09:00,11:25,9,0,11,25
Jet Airways,12-03-2019,10:25,18:55,10,25,18,55
Jet Airways,01-03-2019,05:05,08:00,5,5,8,0
Jet Airways,12-03-2019,08:55,10:25,8,55,10,25
Multiple carriers,27-05-2019,11:25,19:15,11,25,19,15
Jet Airways,12-03-2019,10:25,18:55,10,25,18,55
Jet Airways,01-03-2019,05:05,08:00,5,5,8,0
Jet Airways,12-03-2019,08:55,10:25,8,55,10,25
Multiple carriers,27-05-2019,11:25,19:15,11,25,19,15
