CustomerID,ProdTaken,Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisited,NumberOfFollowups,ProductPitched,PreferredPropertyStar,MaritalStatus,NumberOfTrips,Passport,FeedbackScore,OwnCar,NumberOfChildrenVisited,Des key,MonthlyIncome
200296,Yes,18,Self Enquiry,1,9,Salaried,Male,2,3,Basic,3,Single,2,0,4,0,0,D-2,16420
200301,No,18,Self Enquiry,3,16,Small Business,Female,3,4,Basic,3,Single,2,0,2,1,2,D-2,16200
200457,Yes,18,Company Invited,3,11,Small Business,Male,3,3,Basic,4,Single,2,1,4,1,2,D-2,16878
200488,No,18,Self Enquiry,1,8,Salaried,Female,2,3,Deluxe,3,Divorced,2,0,2,1,0,D-3,60896
200727,No,18,Company Invited,1,11,Salaried,Male,3,3,Basic,3,Single,2,0,2,1,1,D-2,16051
200828,Yes,18,Company Invited,1,14,Small Business,Male,3,3,Basic,3,Single,2,0,5,0,0,D-2,16904
200972,No,18,Company Invited,1,6,Salaried,Female,3,3,Basic,3,Single,2,0,5,1,1,D-2,16611
200127,Yes,19,Self Enquiry,3,28,Small Business,Male,2,3,Basic,3,Single,2,1,2,0,1,D-2,16675
200149,No,19,Self Enquiry,1,9,Small Business,Female,3,3,Basic,4,Single,2,0,3,1,2,D-2,16483
200171,Yes,19,Company Invited,3,6,Large Business,Female,3,5,Basic,5,Single,1,0,3,1,1,D-2,17325
200177,Yes,19,Self Enquiry,1,8,Salaried,Male,2,4,Basic,3,Single,2,0,5,0,0,D-2,16102
200238,No,19,Self Enquiry,3,10,Salaried,Female,2,3,Basic,4,Divorced,3,0,3,1,0,D-2,29718
200422,Yes,19,Self Enquiry,2,8,Large Business,Male,2,4,Basic,3,Single,2,0,3,1,1,D-2,17564
200688,Yes,19,Self Enquiry,3,27,Salaried,Male,2,4,Basic,4,Single,2,1,2,0,1,D-2,17121
200853,No,19,Self Enquiry,1,15,Salaried,Male,2,3,Basic,5,Single,2,0,3,0,0,D-2,17552
200892,Yes,19,Company Invited,1,16,Small Business,Female,3,4,Basic,4,Single,2,1,5,1,1,D-2,16859
200909,No,19,Self Enquiry,1,31,Salaried,Female,2,1,Basic,3,Single,2,1,5,1,0,D-2,17994
200102,Yes,20,Company Invited,1,12,Salaried,Female,3,4,Basic,3,Single,2,1,2,1,1,D-2,17926
200487,No,20,Self Enquiry,1,6,Salaried,Female,2,4,Basic,4,Single,2,0,4,1,0,D-2,17836
200513,Yes,20,Self Enquiry,1,16,Small Business,Male,2,3,Basic,3,Single,2,1,5,0,0,D-2,16009
200543,No,20,Company Invited,1,30,Small Business,Male,2,5,Basic,3,Single,3,0,3,0,1,D-2,18708
200662,Yes,20,Self Enquiry,3,8,Small Business,Female,2,4,Basic,3,Single,2,0,4,0,1,D-2,17044
200689,Yes,20,Self Enquiry,1,10,Large Business,Male,2,3,Basic,5,Single,2,0,3,1,1,D-2,17973
200731,Yes,20,Self Enquiry,1,17,Small Business,Female,3,4,Basic,5,Single,2,1,3,0,1,D-2,17600
200756,No,20,Company Invited,1,35,Small Business,Female,3,3,Basic,3,Single,1,0,3,1,0,D-2,72244
