ID,Age,Income,Credit_Score,Loan_Amount,Employment_Years,Existing_Loans,Education,Employment_Stability,Credit_Risk,Gender,Employment_Type,Marital_Status,Property_Ownership,Loan_Sanctioned
1,24,28000,580,150000,1,2,High School,Low,High,Male,Salaried,Single,Rented,0
2,35,55000,720,300000,8,0,Graduate,High,Low,Female,Salaried,Married,Owned,1
3,42,68000,745,450000,14,1,Postgraduate,High,Low,Male,Salaried,Married,Owned,1
4,29,40000,635,280000,4,2,Graduate,Medium,High,Female,Self-employed,Single,Rented,0
5,51,90000,790,600000,22,0,Postgraduate,High,Low,Male,Business,Married,Owned,1
6,38,62000,705,350000,10,1,Graduate,High,Low,Female,Salaried,Married,Owned,1
7,23,26000,560,120000,1,2,High School,Low,High,Male,Salaried,Single,Rented,0
8,45,75000,760,500000,16,0,Postgraduate,High,Low,Female,Salaried,Married,Owned,1
9,31,45000,650,300000,5,2,Graduate,Medium,Medium,Male,Self-employed,Single,Rented,0
10,48,85000,800,650000,20,0,Postgraduate,High,Low,Male,Business,Married,Owned,1
11,27,35000,610,200000,2,1,Graduate,Low,High,Female,Salaried,Single,Rented,0
12,36,58000,715,320000,9,1,Graduate,High,Low,Male,Salaried,Married,Owned,1
13,43,64000,690,420000,13,2,Postgraduate,Medium,Medium,Female,Self-employed,Married,Family,0
14,30,48000,675,270000,6,0,Graduate,High,Medium,Male,Salaried,Single,Owned,1
15,55,100000,815,700000,26,0,Postgraduate,High,Low,Female,Business,Married,Owned,1
16,26,32000,595,180000,2,2,High School,Low,High,Male,Salaried,Single,Rented,0
17,39,67000,730,400000,11,1,Graduate,High,Low,Female,Salaried,Married,Owned,1
18,47,78000,755,520000,18,1,Postgraduate,High,Low,Male,Self-employed,Married,Owned,1
19,33,43000,620,300000,7,2,Graduate,Medium,High,Female,Salaried,Single,Rented,0
20,41,70000,720,430000,14,0,Postgraduate,High,Low,Male,Salaried,Married,Owned,1
21,28,39000,630,240000,4,1,Graduate,Medium,Medium,Female,Salaried,Single,Rented,0
