ID,Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
1.00,IndiGo,24/03/2019,Banglore,New Delhi,BLR _ DEL,22:20,01:10 22 Mar,2h 50m,non-stop,No info,3897.00
2.00,Air India,1/05/2019,Kolkata,Banglore,CCU _ IXR _ BBI _ BLR,05:50,13:15,7h 25m,2 stops,No info,7662.00
3.00,Jet Airways,9/06/2019,Delhi,Cochin,DEL _ LKO _ BOM _ COK,09:25,04:25 10 Jun,19h,2 stops,No info,13882.00
4.00,IndiGo,12/05/2019,Kolkata,Banglore,CCU _ NAG _ BLR,18:05,23:30,5h 25m,1 stop,No info,6218.00
5.00,IndiGo,01/03/2019,Banglore,New Delhi,BLR _ NAG _ DEL,16:50,21:35,4h 45m,1 stop,No info,13302.00
6.00,SpiceJet,24/06/2019,Kolkata,Banglore,CCU _ BLR,09:00,11:25,2h 25m,non-stop,No info,3873.00
7.00,Jet Airways,12/03/2019,Banglore,New Delhi,BLR _ BOM _ DEL,18:55,10:25 13 Mar,15h 30m,1 stop,In-flight meal not included,11087.00
8.00,Jet Airways,01/03/2019,Banglore,New Delhi,BLR _ BOM _ DEL,08:00,05:05 02 Mar,21h 5m,1 stop,No info,22270.00
9.00,Jet Airways,12/03/2019,Banglore,New Delhi,BLR _ BOM _ DEL,08:55,10:25 13 Mar,25h 30m,1 stop,In-flight meal not included,11087.00
10.00,Multiple carriers,27/05/2019,Delhi,Cochin,DEL _ BOM _ COK,11:25,19:15,7h 50m,1 stop,No info,8625.00
11.00,Air India,1/06/2019,Delhi,Cochin,DEL _ BLR _ COK,09:45,23:00,13h 15m,1 stop,No info,8907.00
12.00,IndiGo,18/04/2019,Kolkata,Banglore,CCU _ BLR,20:20,22:55,2h 35m,non-stop,No info,4174.00
13.00,Air India,24/06/2019,Chennai,Kolkata,MAA _ CCU,11:40,13:55,2h 15m,non-stop,No info,4667.00
14.00,Jet Airways,9/05/2019,Kolkata,Banglore,CCU _ BOM _ BLR,21:10,09:20 10 May,12h 10m,1 stop,In-flight meal not included,9663.00
15.00,IndiGo,24/04/2019,Kolkata,Banglore,CCU _ BLR,17:15,19:50,2h 35m,non-stop,No info,4804.00
16.00,Air India,3/03/2019,Delhi,Cochin,DEL _ AMD _ BOM _ COK,16:40,19:15 04 Mar,26h 35m,2 stops,No info,14011.00
17.00,SpiceJet,15/04/2019,Delhi,Cochin,DEL _ PNQ _ COK,08:45,13:15,4h 30m,1 stop,No info,5830.00
18.00,Jet Airways,12/06/2019,Delhi,Cochin,DEL _ BOM _ COK,14:00,12:35 13 Jun,22h 35m,1 stop,In-flight meal not included,10262.00
19.00,Air India,12/06/2019,Delhi,Cochin,DEL _ CCU _ BOM _ COK,20:15,19:15 13 Jun,23h,2 stops,No info,13381.00
